"STOCK_HOLDER_NUMBER","COUPON_CODE"
"10000101","A00101"
"10000102","A00102"
"10000103","A00103"
"10000104","A00104"
"10000105","A00105"
"10000106","A00106"
"10000107","A00107"
"10000108","A00108"
"10000109","A00109"
"10000110","A00110"
"10000111","A00111"
"10000112","A00112"
"10000113","A00113"
"10000114","A00114"
"10000115","A00115"
"10000116","A00116"
"10000117","A00117"
"10000118","A00118"
"10000119","A00119"
"10000120","A00120"
"10000121","A00121"
"10000122","A00122"
"10000123","A00123"
"10000124","A00124"
"10000125","A00125"
"10000126","A00126"
"10000127","A00127"
"10000128","A00128"
"10000129","A00129"
"10000130","A00130"
"10000131","A00131"
"10000132","A00132"
"10000133","A00133"
"10000134","A00134"
"10000135","A00135"
"10000136","A00136"
"10000137","A00137"
"10000138","A00138"
"10000139","A00139"
"10000140","A00140"
"10000141","A00141"
"10000142","A00142"
"10000143","A00143"
"10000144","A00144"
"10000145","A00145"
"10000146","A00146"
"10000147","A00147"
"10000148","A00148"
"10000149","A00149"
"10000150","A00150"
