"STOCK_HOLDER_NUMBER","COUPON_CODE"
"10000001","A00001"
"10000002","A00002"
"10000003","A00003"
"10000004","A00004"
"10000005","A00005"
"10000006","A00006"
"10000007","A00007"
"10000008","A00008"
"10000009","A00009"
"10000010","A00010"
"10000011","A00011"
"10000012","A00012"
"10000013","A00013"
"10000014","A00014"
"10000015","A00015"
"10000016","A00016"
"10000017","A00017"
"10000018","A00018"
"10000019","A00019"
"10000020","A00020"
"10000021","A00021"
"10000022","A00022"
"10000023","A00023"
"10000024","A00024"
"10000025","A00025"
"10000026","A00026"
"10000027","A00027"
"10000028","A00028"
"10000029","A00029"
"10000030","A00030"
"10000031","A00031"
"10000032","A00032"
"10000033","A00033"
"10000034","A00034"
"10000035","A00035"
"10000036","A00036"
"10000037","A00037"
"10000038","A00038"
"10000039","A00039"
"10000040","A00040"
"10000041","A00041"
"10000042","A00042"
"10000043","A00043"
"10000044","A00044"
"10000045","A00045"
"10000046","A00046"
"10000047","A00047"
"10000048","A00048"
"10000049","A00049"
"10000050","A00050"
